Stock,Features,Volatility,Percent Return,Win Rate,Accuracy Test,Total Dict,Selected Features
AZUL4.SA,23,0.753508859202774,-21.54199290000006,48.275862068965516,0.292,"{'-1.0': {'precision': 0.52, 'recall': 0.1326530612244898, 'f1-score': 0.21138211382113822, 'support': 98.0}, '0.0': {'precision': 0.18823529411764706, 'recall': 0.23880597014925373, 'f1-score': 0.21052631578947364, 'support': 67.0}, '1.0': {'precision': 0.3142857142857143, 'recall': 0.5176470588235295, 'f1-score': 0.39111111111111113, 'support': 85.0}, 'accuracy': 0.292, 'macro avg': {'precision': 0.3408403361344538, 'recall': 0.29636869673242433, 'f1-score': 0.27100651357390765, 'support': 250.0}, 'weighted avg': {'precision': 0.3611442016806723, 'recall': 0.292, 'f1-score': 0.2722606190272429, 'support': 250.0}}","['n_estimators', 'adx_period', 'atr_period', 'cci_period', 'stc_window_slow', 'stc_window_fast', 'stc_cycle', 'stc_smooth1', 'stc_smooth2', 'kst_r1', 'kst_r2', 'kst_r3', 'kst_r4', 'kst_n1', 'kst_n2', 'kst_n3', 'kst_n4', 'kst_signal', 'trix_window', 'mass_window_fast', 'mass_window_slow', 'dpo_window', 'rsi_window', 'awesome_window1', 'awesome_window2']"
AZUL4.SA,24,0.753508859202774,-16.41989897999998,44.44444444444444,0.32,"{'-1.0': {'precision': 0.4411764705882353, 'recall': 0.15306122448979592, 'f1-score': 0.22727272727272727, 'support': 98.0}, '0.0': {'precision': 0.23232323232323232, 'recall': 0.34328358208955223, 'f1-score': 0.2771084337349397, 'support': 67.0}, '1.0': {'precision': 0.358974358974359, 'recall': 0.49411764705882355, 'f1-score': 0.4158415841584158, 'support': 85.0}, 'accuracy': 0.32, 'macro avg': {'precision': 0.34415802062860884, 'recall': 0.3301541512127239, 'f1-score': 0.3067409150553609, 'support': 250.0}, 'weighted avg': {'precision': 0.3572550847844965, 'recall': 0.32, 'f1-score': 0.30474210794573436, 'support': 250.0}}","['n_estimators', 'adx_period', 'atr_period', 'cci_period', 'stc_window_slow', 'stc_window_fast', 'stc_cycle', 'stc_smooth1', 'stc_smooth2', 'kst_r1', 'kst_r2', 'kst_r3', 'kst_r4', 'kst_n1', 'kst_n2', 'kst_n3', 'kst_n4', 'kst_signal', 'trix_window', 'mass_window_fast', 'mass_window_slow', 'dpo_window', 'rsi_window', 'awesome_window1', 'awesome_window2']"
AZUL4.SA,25,0.753508859202774,74.68330838999998,63.888888888888886,0.304,"{'-1.0': {'precision': 0.41379310344827586, 'recall': 0.12244897959183673, 'f1-score': 0.1889763779527559, 'support': 98.0}, '0.0': {'precision': 0.23577235772357724, 'recall': 0.43283582089552236, 'f1-score': 0.30526315789473685, 'support': 67.0}, '1.0': {'precision': 0.35714285714285715, 'recall': 0.4117647058823529, 'f1-score': 0.38251366120218583, 'support': 85.0}, 'accuracy': 0.304, 'macro avg': {'precision': 0.33556943943823675, 'recall': 0.32234983545657064, 'f1-score': 0.2922510656832262, 'support': 250.0}, 'weighted avg': {'precision': 0.34682245985021426, 'recall': 0.304, 'f1-score': 0.285943911282013, 'support': 250.0}}","['n_estimators', 'adx_period', 'atr_period', 'cci_period', 'stc_window_slow', 'stc_window_fast', 'stc_cycle', 'stc_smooth1', 'stc_smooth2', 'kst_r1', 'kst_r2', 'kst_r3', 'kst_r4', 'kst_n1', 'kst_n2', 'kst_n3', 'kst_n4', 'kst_signal', 'trix_window', 'mass_window_fast', 'mass_window_slow', 'dpo_window', 'rsi_window', 'awesome_window1', 'awesome_window2']"
AZUL4.SA,26,0.753508859202774,-23.108205700000024,29.411764705882355,0.304,"{'-1.0': {'precision': 0.5882352941176471, 'recall': 0.10204081632653061, 'f1-score': 0.1739130434782609, 'support': 98.0}, '0.0': {'precision': 0.24, 'recall': 0.3582089552238806, 'f1-score': 0.28742514970059885, 'support': 67.0}, '1.0': {'precision': 0.3157894736842105, 'recall': 0.49411764705882355, 'f1-score': 0.38532110091743116, 'support': 85.0}, 'accuracy': 0.304, 'macro avg': {'precision': 0.38134158926728584, 'recall': 0.31812247286974493, 'f1-score': 0.28221976469876364, 'support': 250.0}, 'weighted avg': {'precision': 0.4022766563467492, 'recall': 0.304, 'f1-score': 0.27621302747516535, 'support': 250.0}}","['n_estimators', 'adx_period', 'atr_period', 'cci_period', 'stc_window_slow', 'stc_window_fast', 'stc_cycle', 'stc_smooth1', 'stc_smooth2', 'kst_r1', 'kst_r2', 'kst_r3', 'kst_r4', 'kst_n1', 'kst_n2', 'kst_n3', 'kst_n4', 'kst_signal', 'trix_window', 'mass_window_fast', 'mass_window_slow', 'dpo_window', 'rsi_window', 'awesome_window1', 'awesome_window2']"
AZUL4.SA,27,0.753508859202774,-35.73220000000002,31.818181818181817,0.324,"{'-1.0': {'precision': 0.6363636363636364, 'recall': 0.07142857142857142, 'f1-score': 0.12844036697247704, 'support': 98.0}, '0.0': {'precision': 0.2621359223300971, 'recall': 0.40298507462686567, 'f1-score': 0.31764705882352945, 'support': 67.0}, '1.0': {'precision': 0.34558823529411764, 'recall': 0.5529411764705883, 'f1-score': 0.42533936651583715, 'support': 85.0}, 'accuracy': 0.324, 'macro avg': {'precision': 0.4146959313292837, 'recall': 0.34245160750867515, 'f1-score': 0.2904755974372812, 'support': 250.0}, 'weighted avg': {'precision': 0.4372069726390114, 'recall': 0.324, 'f1-score': 0.2800934202333016, 'support': 250.0}}","['n_estimators', 'adx_period', 'atr_period', 'cci_period', 'stc_window_slow', 'stc_window_fast', 'stc_cycle', 'stc_smooth1', 'stc_smooth2', 'kst_r1', 'kst_r2', 'kst_r3', 'kst_r4', 'kst_n1', 'kst_n2', 'kst_n3', 'kst_n4', 'kst_signal', 'trix_window', 'mass_window_fast', 'mass_window_slow', 'dpo_window', 'rsi_window', 'awesome_window1', 'awesome_window2']"
PRIO3.SA,3,0.2936438415611818,-6.041917670000057,53.70370370370371,0.304,"{'-1.0': {'precision': 0.47619047619047616, 'recall': 0.36363636363636365, 'f1-score': 0.41237113402061853, 'support': 110.0}, '0.0': {'precision': 0.16964285714285715, 'recall': 0.37254901960784315, 'f1-score': 0.23312883435582818, 'support': 51.0}, '1.0': {'precision': 0.3148148148148148, 'recall': 0.19101123595505617, 'f1-score': 0.23776223776223776, 'support': 89.0}, 'accuracy': 0.304, 'macro avg': {'precision': 0.32021604938271603, 'recall': 0.30906553973308765, 'f1-score': 0.29442073537956154, 'support': 250.0}, 'weighted avg': {'precision': 0.35620502645502644, 'recall': 0.304, 'f1-score': 0.3136449378210177, 'support': 250.0}}","['n_estimators', 'adx_period', 'cci_period', 'mass_window_fast', 'mass_window_slow']"
PRIO3.SA,4,0.2936438415611818,-19.302076139999926,50.98039215686274,0.34,"{'-1.0': {'precision': 0.4339622641509434, 'recall': 0.41818181818181815, 'f1-score': 0.42592592592592593, 'support': 110.0}, '0.0': {'precision': 0.19148936170212766, 'recall': 0.35294117647058826, 'f1-score': 0.2482758620689655, 'support': 51.0}, '1.0': {'precision': 0.42, 'recall': 0.23595505617977527, 'f1-score': 0.302158273381295, 'support': 89.0}, 'accuracy': 0.34, 'macro avg': {'precision': 0.34848387528435704, 'recall': 0.33569268361072724, 'f1-score': 0.32545335379206214, 'support': 250.0}, 'weighted avg': {'precision': 0.37952722601364913, 'recall': 0.34, 'f1-score': 0.3456240285932174, 'support': 250.0}}","['n_estimators', 'adx_period', 'cci_period', 'mass_window_fast', 'mass_window_slow']"
PRIO3.SA,5,0.2936438415611818,-3.469904529999985,48.214285714285715,0.356,"{'-1.0': {'precision': 0.47619047619047616, 'recall': 0.45454545454545453, 'f1-score': 0.46511627906976744, 'support': 110.0}, '0.0': {'precision': 0.16279069767441862, 'recall': 0.27450980392156865, 'f1-score': 0.20437956204379562, 'support': 51.0}, '1.0': {'precision': 0.423728813559322, 'recall': 0.2808988764044944, 'f1-score': 0.33783783783783783, 'support': 89.0}, 'accuracy': 0.356, 'macro avg': {'precision': 0.3542366624747389, 'recall': 0.33665137829050584, 'f1-score': 0.3357778929838003, 'support': 250.0}, 'weighted avg': {'precision': 0.3935805694765096, 'recall': 0.356, 'f1-score': 0.36661486371790225, 'support': 250.0}}","['n_estimators', 'adx_period', 'cci_period', 'mass_window_fast', 'mass_window_slow']"
PRIO3.SA,6,0.2936438415611818,-1.5063998199999513,48.07692307692308,0.34,"{'-1.0': {'precision': 0.4942528735632184, 'recall': 0.39090909090909093, 'f1-score': 0.43654822335025384, 'support': 110.0}, '0.0': {'precision': 0.19607843137254902, 'recall': 0.39215686274509803, 'f1-score': 0.261437908496732, 'support': 51.0}, '1.0': {'precision': 0.36065573770491804, 'recall': 0.24719101123595505, 'f1-score': 0.29333333333333333, 'support': 89.0}, 'accuracy': 0.34, 'macro avg': {'precision': 0.35032901421356183, 'recall': 0.3434189882967147, 'f1-score': 0.33043982172677305, 'support': 250.0}, 'weighted avg': {'precision': 0.3858647069907669, 'recall': 0.34, 'f1-score': 0.3498412182741117, 'support': 250.0}}","['n_estimators', 'adx_period', 'cci_period', 'mass_window_fast', 'mass_window_slow']"
PRIO3.SA,7,0.2936438415611818,-4.711380329999956,49.122807017543856,0.332,"{'-1.0': {'precision': 0.47474747474747475, 'recall': 0.42727272727272725, 'f1-score': 0.44976076555023925, 'support': 110.0}, '0.0': {'precision': 0.1827956989247312, 'recall': 0.3333333333333333, 'f1-score': 0.2361111111111111, 'support': 51.0}, '1.0': {'precision': 0.3275862068965517, 'recall': 0.21348314606741572, 'f1-score': 0.2585034013605442, 'support': 89.0}, 'accuracy': 0.332, 'macro avg': {'precision': 0.3283764601895859, 'recall': 0.3246964022244921, 'f1-score': 0.3147917593406315, 'support': 250.0}, 'weighted avg': {'precision': 0.3627999011247065, 'recall': 0.332, 'f1-score': 0.3380886143931257, 'support': 250.0}}","['n_estimators', 'adx_period', 'atr_period', 'cci_period', 'mass_window_fast', 'mass_window_slow']"
PRIO3.SA,8,0.2936438415611818,34.19191429000003,56.25,0.36,"{'-1.0': {'precision': 0.5421686746987951, 'recall': 0.4090909090909091, 'f1-score': 0.46632124352331605, 'support': 110.0}, '0.0': {'precision': 0.20512820512820512, 'recall': 0.47058823529411764, 'f1-score': 0.28571428571428564, 'support': 51.0}, '1.0': {'precision': 0.42, 'recall': 0.23595505617977527, 'f1-score': 0.302158273381295, 'support': 89.0}, 'accuracy': 0.36, 'macro avg': {'precision': 0.3890989599423334, 'recall': 0.37187806685493396, 'f1-score': 0.35139793420629895, 'support': 250.0}, 'weighted avg': {'precision': 0.4299203707136237, 'recall': 0.36, 'f1-score': 0.37103540675971436, 'support': 250.0}}","['n_estimators', 'adx_period', 'atr_period', 'cci_period', 'mass_window_fast', 'mass_window_slow', 'dpo_window']"
PRIO3.SA,9,0.2936438415611818,13.324146870000039,52.17391304347826,0.344,"{'-1.0': {'precision': 0.49382716049382713, 'recall': 0.36363636363636365, 'f1-score': 0.418848167539267, 'support': 110.0}, '0.0': {'precision': 0.21495327102803738, 'recall': 0.45098039215686275, 'f1-score': 0.2911392405063291, 'support': 51.0}, '1.0': {'precision': 0.3709677419354839, 'recall': 0.25842696629213485, 'f1-score': 0.304635761589404, 'support': 89.0}, 'accuracy': 0.344, 'macro avg': {'precision': 0.3599160578191161, 'recall': 0.3576812406951204, 'f1-score': 0.3382077232116667, 'support': 250.0}, 'weighted avg': {'precision': 0.39319893403603584, 'recall': 0.344, 'f1-score': 0.3521359299063964, 'support': 250.0}}","['n_estimators', 'adx_period', 'atr_period', 'cci_period', 'mass_window_fast', 'mass_window_slow', 'dpo_window', 'rsi_window']"
PRIO3.SA,10,0.2936438415611818,-9.33552213999992,50.0,0.356,"{'-1.0': {'precision': 0.49572649572649574, 'recall': 0.5272727272727272, 'f1-score': 0.5110132158590308, 'support': 110.0}, '0.0': {'precision': 0.18681318681318682, 'recall': 0.3333333333333333, 'f1-score': 0.2394366197183099, 'support': 51.0}, '1.0': {'precision': 0.3333333333333333, 'recall': 0.15730337078651685, 'f1-score': 0.21374045801526717, 'support': 89.0}, 'accuracy': 0.356, 'macro avg': {'precision': 0.3386243386243386, 'recall': 0.3393031437975258, 'f1-score': 0.3213967645308693, 'support': 250.0}, 'weighted avg': {'precision': 0.37489621489621494, 'recall': 0.356, 'f1-score': 0.3497824884539439, 'support': 250.0}}","['n_estimators', 'adx_period', 'atr_period', 'cci_period', 'mass_window_fast', 'mass_window_slow', 'dpo_window', 'rsi_window']"
PRIO3.SA,11,0.2936438415611818,23.853193960000098,55.35714285714286,0.344,"{'-1.0': {'precision': 0.5616438356164384, 'recall': 0.37272727272727274, 'f1-score': 0.44808743169398907, 'support': 110.0}, '0.0': {'precision': 0.21951219512195122, 'recall': 0.5294117647058824, 'f1-score': 0.3103448275862069, 'support': 51.0}, '1.0': {'precision': 0.3333333333333333, 'recall': 0.20224719101123595, 'f1-score': 0.2517482517482518, 'support': 89.0}, 'accuracy': 0.344, 'macro avg': {'precision': 0.3714964546905743, 'recall': 0.368128742814797, 'f1-score': 0.3367268370094825, 'support': 250.0}, 'weighted avg': {'precision': 0.41057044214277755, 'recall': 0.344, 'f1-score': 0.350091192395319, 'support': 250.0}}","['n_estimators', 'adx_period', 'atr_period', 'cci_period', 'mass_window_fast', 'mass_window_slow', 'dpo_window']"
PRIO3.SA,12,0.2936438415611818,1.1939345700000559,55.35714285714286,0.268,"{'-1.0': {'precision': 0.43333333333333335, 'recall': 0.35454545454545455, 'f1-score': 0.39000000000000007, 'support': 110.0}, '0.0': {'precision': 0.12727272727272726, 'recall': 0.27450980392156865, 'f1-score': 0.17391304347826086, 'support': 51.0}, '1.0': {'precision': 0.28, 'recall': 0.15730337078651685, 'f1-score': 0.20143884892086333, 'support': 89.0}, 'accuracy': 0.268, 'macro avg': {'precision': 0.2802020202020202, 'recall': 0.26211954308451335, 'f1-score': 0.25511729746637474, 'support': 250.0}, 'weighted avg': {'precision': 0.3163103030303031, 'recall': 0.268, 'f1-score': 0.2787904910853926, 'support': 250.0}}","['n_estimators', 'adx_period', 'atr_period', 'cci_period', 'trix_window', 'mass_window_fast', 'mass_window_slow', 'dpo_window', 'rsi_window']"
PRIO3.SA,13,0.2936438415611818,-2.6170957499999714,54.0,0.34,"{'-1.0': {'precision': 0.47368421052631576, 'recall': 0.4090909090909091, 'f1-score': 0.43902439024390244, 'support': 110.0}, '0.0': {'precision': 0.19811320754716982, 'recall': 0.4117647058823529, 'f1-score': 0.267515923566879, 'support': 51.0}, '1.0': {'precision': 0.3877551020408163, 'recall': 0.21348314606741572, 'f1-score': 0.2753623188405797, 'support': 89.0}, 'accuracy': 0.34, 'macro avg': {'precision': 0.353184173371434, 'recall': 0.34477958701355926, 'f1-score': 0.32730087755045373, 'support': 250.0}, 'weighted avg': {'precision': 0.3868769632977322, 'recall': 0.34, 'f1-score': 0.3457729656222068, 'support': 250.0}}","['n_estimators', 'adx_period', 'atr_period', 'cci_period', 'trix_window', 'mass_window_fast', 'mass_window_slow', 'dpo_window']"
PRIO3.SA,14,0.2936438415611818,-15.659186219999938,48.717948717948715,0.328,"{'-1.0': {'precision': 0.464, 'recall': 0.5272727272727272, 'f1-score': 0.49361702127659574, 'support': 110.0}, '0.0': {'precision': 0.17721518987341772, 'recall': 0.27450980392156865, 'f1-score': 0.2153846153846154, 'support': 51.0}, '1.0': {'precision': 0.21739130434782608, 'recall': 0.11235955056179775, 'f1-score': 0.14814814814814814, 'support': 89.0}, 'accuracy': 0.328, 'macro avg': {'precision': 0.2862021647404146, 'recall': 0.3047140272520312, 'f1-score': 0.28571659493645307, 'support': 250.0}, 'weighted avg': {'precision': 0.31770320308200334, 'recall': 0.328, 'f1-score': 0.3138706916409044, 'support': 250.0}}","['n_estimators', 'adx_period', 'atr_period', 'cci_period', 'trix_window', 'mass_window_fast', 'mass_window_slow', 'dpo_window', 'rsi_window']"
PRIO3.SA,15,0.2936438415611818,20.52591163000001,51.78571428571429,0.352,"{'-1.0': {'precision': 0.4732142857142857, 'recall': 0.4818181818181818, 'f1-score': 0.47747747747747743, 'support': 110.0}, '0.0': {'precision': 0.19753086419753085, 'recall': 0.3137254901960784, 'f1-score': 0.24242424242424243, 'support': 51.0}, '1.0': {'precision': 0.3333333333333333, 'recall': 0.21348314606741572, 'f1-score': 0.2602739726027397, 'support': 89.0}, 'accuracy': 0.352, 'macro avg': {'precision': 0.3346928277483833, 'recall': 0.336342272693892, 'f1-score': 0.32672523083481986, 'support': 250.0}, 'weighted avg': {'precision': 0.3671772486772486, 'recall': 0.352, 'f1-score': 0.35220216979121083, 'support': 250.0}}","['n_estimators', 'adx_period', 'atr_period', 'cci_period', 'stc_window_slow', 'stc_window_fast', 'stc_cycle', 'stc_smooth1', 'stc_smooth2', 'trix_window', 'mass_window_fast', 'mass_window_slow', 'dpo_window', 'rsi_window']"
PRIO3.SA,16,0.2936438415611818,17.929515039999952,57.14285714285714,0.376,"{'-1.0': {'precision': 0.49586776859504134, 'recall': 0.5454545454545454, 'f1-score': 0.5194805194805194, 'support': 110.0}, '0.0': {'precision': 0.18888888888888888, 'recall': 0.3333333333333333, 'f1-score': 0.24113475177304966, 'support': 51.0}, '1.0': {'precision': 0.4358974358974359, 'recall': 0.19101123595505617, 'f1-score': 0.265625, 'support': 89.0}, 'accuracy': 0.376, 'macro avg': {'precision': 0.3735513644604554, 'recall': 0.35659970491431164, 'f1-score': 0.3420800904178563, 'support': 250.0}, 'weighted avg': {'precision': 0.4118946386946387, 'recall': 0.376, 'f1-score': 0.3723254179331307, 'support': 250.0}}","['n_estimators', 'adx_period', 'atr_period', 'cci_period', 'trix_window', 'mass_window_fast', 'mass_window_slow', 'dpo_window', 'rsi_window']"
PRIO3.SA,17,0.2936438415611818,-17.79620394999998,50.943396226415096,0.304,"{'-1.0': {'precision': 0.45918367346938777, 'recall': 0.4090909090909091, 'f1-score': 0.4326923076923077, 'support': 110.0}, '0.0': {'precision': 0.16964285714285715, 'recall': 0.37254901960784315, 'f1-score': 0.23312883435582818, 'support': 51.0}, '1.0': {'precision': 0.3, 'recall': 0.1348314606741573, 'f1-score': 0.18604651162790697, 'support': 89.0}, 'accuracy': 0.304, 'macro avg': {'precision': 0.30960884353741497, 'recall': 0.3054904631243032, 'f1-score': 0.283955884558681, 'support': 250.0}, 'weighted avg': {'precision': 0.34344795918367343, 'recall': 0.304, 'f1-score': 0.30417545573273924, 'support': 250.0}}","['n_estimators', 'adx_period', 'atr_period', 'cci_period', 'trix_window', 'mass_window_fast', 'mass_window_slow', 'dpo_window', 'rsi_window']"
PRIO3.SA,18,0.2936438415611818,17.33479753000003,59.25925925925925,0.348,"{'-1.0': {'precision': 0.5056179775280899, 'recall': 0.4090909090909091, 'f1-score': 0.4522613065326634, 'support': 110.0}, '0.0': {'precision': 0.2204724409448819, 'recall': 0.5490196078431373, 'f1-score': 0.3146067415730337, 'support': 51.0}, '1.0': {'precision': 0.4117647058823529, 'recall': 0.15730337078651685, 'f1-score': 0.22764227642276422, 'support': 89.0}, 'accuracy': 0.348, 'macro avg': {'precision': 0.37928504145177494, 'recall': 0.37180462924018776, 'f1-score': 0.33150344150948713, 'support': 250.0}, 'weighted avg': {'precision': 0.41403652335923313, 'recall': 0.348, 'f1-score': 0.3442154005617748, 'support': 250.0}}","['n_estimators', 'adx_period', 'atr_period', 'cci_period', 'stc_window_slow', 'stc_window_fast', 'stc_cycle', 'stc_smooth1', 'stc_smooth2', 'kst_r1', 'kst_r2', 'kst_r3', 'kst_r4', 'kst_n1', 'kst_n2', 'kst_n3', 'kst_n4', 'kst_signal', 'trix_window', 'mass_window_fast', 'mass_window_slow', 'dpo_window', 'rsi_window']"
PRIO3.SA,19,0.2936438415611818,-0.09382044999993013,49.09090909090909,0.352,"{'-1.0': {'precision': 0.47619047619047616, 'recall': 0.45454545454545453, 'f1-score': 0.46511627906976744, 'support': 110.0}, '0.0': {'precision': 0.23076923076923078, 'recall': 0.47058823529411764, 'f1-score': 0.3096774193548387, 'support': 51.0}, '1.0': {'precision': 0.34146341463414637, 'recall': 0.15730337078651685, 'f1-score': 0.21538461538461537, 'support': 89.0}, 'accuracy': 0.352, 'macro avg': {'precision': 0.34947437386461777, 'recall': 0.3608123535420296, 'f1-score': 0.3300594379364072, 'support': 250.0}, 'weighted avg': {'precision': 0.3781617082104887, 'recall': 0.352, 'f1-score': 0.3445022794160078, 'support': 250.0}}","['n_estimators', 'adx_period', 'atr_period', 'cci_period', 'stc_window_slow', 'stc_window_fast', 'stc_cycle', 'stc_smooth1', 'stc_smooth2', 'trix_window', 'mass_window_fast', 'mass_window_slow', 'dpo_window', 'rsi_window']"
PRIO3.SA,20,0.2936438415611818,24.012058220000107,58.333333333333336,0.304,"{'-1.0': {'precision': 0.5535714285714286, 'recall': 0.2818181818181818, 'f1-score': 0.3734939759036145, 'support': 110.0}, '0.0': {'precision': 0.1897810218978102, 'recall': 0.5098039215686274, 'f1-score': 0.2765957446808511, 'support': 51.0}, '1.0': {'precision': 0.3333333333333333, 'recall': 0.21348314606741572, 'f1-score': 0.2602739726027397, 'support': 89.0}, 'accuracy': 0.304, 'macro avg': {'precision': 0.358895261267524, 'recall': 0.33503508315140834, 'f1-score': 0.3034545643957351, 'support': 250.0}, 'weighted avg': {'precision': 0.4009534237052485, 'recall': 0.304, 'f1-score': 0.31342041555905936, 'support': 250.0}}","['n_estimators', 'adx_period', 'atr_period', 'cci_period', 'stc_window_slow', 'stc_window_fast', 'stc_cycle', 'stc_smooth1', 'stc_smooth2', 'trix_window', 'mass_window_fast', 'mass_window_slow', 'dpo_window', 'rsi_window', 'awesome_window1', 'awesome_window2']"
PRIO3.SA,21,0.2936438415611818,6.066283880000064,54.166666666666664,0.348,"{'-1.0': {'precision': 0.46956521739130436, 'recall': 0.4909090909090909, 'f1-score': 0.48, 'support': 110.0}, '0.0': {'precision': 0.2037037037037037, 'recall': 0.43137254901960786, 'f1-score': 0.27672955974842767, 'support': 51.0}, '1.0': {'precision': 0.4074074074074074, 'recall': 0.12359550561797752, 'f1-score': 0.18965517241379307, 'support': 89.0}, 'accuracy': 0.348, 'macro avg': {'precision': 0.3602254428341385, 'recall': 0.34862571518222546, 'f1-score': 0.3154615773874069, 'support': 250.0}, 'weighted avg': {'precision': 0.39320128824476647, 'recall': 0.348, 'f1-score': 0.33517007156798956, 'support': 250.0}}","['n_estimators', 'adx_period', 'atr_period', 'cci_period', 'stc_window_slow', 'stc_window_fast', 'stc_cycle', 'stc_smooth1', 'stc_smooth2', 'kst_r1', 'kst_r2', 'kst_r3', 'kst_r4', 'kst_n1', 'kst_n2', 'kst_n3', 'kst_n4', 'kst_signal', 'trix_window', 'mass_window_fast', 'mass_window_slow', 'dpo_window', 'rsi_window', 'awesome_window1', 'awesome_window2']"
PRIO3.SA,22,0.2936438415611818,28.875987620000032,60.78431372549019,0.344,"{'-1.0': {'precision': 0.5454545454545454, 'recall': 0.32727272727272727, 'f1-score': 0.4090909090909091, 'support': 110.0}, '0.0': {'precision': 0.203125, 'recall': 0.5098039215686274, 'f1-score': 0.29050279329608936, 'support': 51.0}, '1.0': {'precision': 0.42857142857142855, 'recall': 0.2696629213483146, 'f1-score': 0.33103448275862063, 'support': 89.0}, 'accuracy': 0.344, 'macro avg': {'precision': 0.392383658008658, 'recall': 0.36891319006322315, 'f1-score': 0.34354272838187305, 'support': 250.0}, 'weighted avg': {'precision': 0.43400892857142853, 'recall': 0.344, 'f1-score': 0.35711084569447116, 'support': 250.0}}","['n_estimators', 'adx_period', 'atr_period', 'cci_period', 'stc_window_slow', 'stc_window_fast', 'stc_cycle', 'stc_smooth1', 'stc_smooth2', 'trix_window', 'mass_window_fast', 'mass_window_slow', 'dpo_window', 'rsi_window', 'awesome_window1', 'awesome_window2']"
PRIO3.SA,23,0.2936438415611818,17.253693889999976,63.829787234042556,0.296,"{'-1.0': {'precision': 0.46153846153846156, 'recall': 0.2727272727272727, 'f1-score': 0.3428571428571428, 'support': 110.0}, '0.0': {'precision': 0.1956521739130435, 'recall': 0.5294117647058824, 'f1-score': 0.28571428571428575, 'support': 51.0}, '1.0': {'precision': 0.3617021276595745, 'recall': 0.19101123595505617, 'f1-score': 0.25, 'support': 89.0}, 'accuracy': 0.296, 'macro avg': {'precision': 0.3396309210370265, 'recall': 0.33105009112940376, 'f1-score': 0.29285714285714287, 'support': 250.0}, 'weighted avg': {'precision': 0.37175592400199253, 'recall': 0.296, 'f1-score': 0.2981428571428571, 'support': 250.0}}","['n_estimators', 'adx_period', 'atr_period', 'cci_period', 'stc_window_slow', 'stc_window_fast', 'stc_cycle', 'stc_smooth1', 'stc_smooth2', 'kst_r1', 'kst_r2', 'kst_r3', 'kst_r4', 'kst_n1', 'kst_n2', 'kst_n3', 'kst_n4', 'kst_signal', 'trix_window', 'mass_window_fast', 'mass_window_slow', 'dpo_window', 'rsi_window', 'awesome_window1', 'awesome_window2']"
PRIO3.SA,24,0.2936438415611818,5.848684450000146,52.94117647058824,0.356,"{'-1.0': {'precision': 0.5, 'recall': 0.44545454545454544, 'f1-score': 0.47115384615384615, 'support': 110.0}, '0.0': {'precision': 0.22549019607843138, 'recall': 0.45098039215686275, 'f1-score': 0.3006535947712418, 'support': 51.0}, '1.0': {'precision': 0.34, 'recall': 0.19101123595505617, 'f1-score': 0.2446043165467626, 'support': 89.0}, 'accuracy': 0.356, 'macro avg': {'precision': 0.35516339869281044, 'recall': 0.36248205785548815, 'f1-score': 0.33880391915728353, 'support': 250.0}, 'weighted avg': {'precision': 0.38704, 'recall': 0.356, 'f1-score': 0.35572016233167314, 'support': 250.0}}","['n_estimators', 'adx_period', 'atr_period', 'cci_period', 'stc_window_slow', 'stc_window_fast', 'stc_cycle', 'stc_smooth1', 'stc_smooth2', 'kst_r1', 'kst_r2', 'kst_r3', 'kst_r4', 'kst_n1', 'kst_n2', 'kst_n3', 'kst_n4', 'kst_signal', 'trix_window', 'mass_window_fast', 'mass_window_slow', 'dpo_window', 'rsi_window', 'awesome_window1', 'awesome_window2']"
PRIO3.SA,25,0.2936438415611818,33.25522961000006,59.61538461538461,0.344,"{'-1.0': {'precision': 0.5802469135802469, 'recall': 0.42727272727272725, 'f1-score': 0.49214659685863876, 'support': 110.0}, '0.0': {'precision': 0.18487394957983194, 'recall': 0.43137254901960786, 'f1-score': 0.25882352941176473, 'support': 51.0}, '1.0': {'precision': 0.34, 'recall': 0.19101123595505617, 'f1-score': 0.2446043165467626, 'support': 89.0}, 'accuracy': 0.344, 'macro avg': {'precision': 0.36837362105335963, 'recall': 0.34988550408246377, 'f1-score': 0.331858147605722, 'support': 250.0}, 'weighted avg': {'precision': 0.4140629276895944, 'recall': 0.344, 'f1-score': 0.3564236393084485, 'support': 250.0}}","['n_estimators', 'adx_period', 'atr_period', 'cci_period', 'stc_window_slow', 'stc_window_fast', 'stc_cycle', 'stc_smooth1', 'stc_smooth2', 'kst_r1', 'kst_r2', 'kst_r3', 'kst_r4', 'kst_n1', 'kst_n2', 'kst_n3', 'kst_n4', 'kst_signal', 'trix_window', 'mass_window_fast', 'mass_window_slow', 'dpo_window', 'rsi_window', 'awesome_window1', 'awesome_window2']"
